service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25908410,0,0,0,0,0,0,0,20200115,20201231
25908456,0,0,0,0,0,1,0,20200118,20200404
25908459,0,0,0,0,0,1,0,20200118,20200404
25908537,0,0,0,0,0,1,0,20200118,20200404
25907641,0,0,0,0,0,0,1,20200119,20200405
25908050,1,1,1,1,1,0,0,20200115,20200221
25908453,0,0,0,0,0,1,0,20200118,20200404
25907703,1,1,1,1,1,0,0,20200224,20200226
25908051,1,1,1,1,1,0,0,20200227,20200327
25908450,0,0,0,0,0,1,0,20200118,20200404
25907710,1,1,1,1,1,0,0,20200224,20200226
25908062,1,1,1,1,1,0,0,20200115,20200221
25908063,1,1,1,1,1,0,0,20200227,20200327
25908056,1,1,1,1,1,0,0,20200115,20200221
25908057,1,1,1,1,1,0,0,20200227,20200327
25907551,0,0,0,0,0,0,1,20200119,20200405
25907554,0,0,0,0,0,0,1,20200119,20200405
25907969,1,1,1,1,1,0,0,20200224,20200226
25908038,1,1,1,1,1,0,0,20200115,20200221
25908068,1,1,1,1,1,0,0,20200115,20200221
25908044,1,1,1,1,1,0,0,20200115,20200221
25908284,1,1,1,1,1,0,0,20200115,20200221
25908278,1,1,1,1,1,0,0,20200115,20200221
25908462,0,0,0,0,0,1,0,20200118,20200404
25908447,0,0,0,0,0,1,0,20200118,20200404
25908540,0,0,0,0,0,1,0,20200118,20200404
25907962,1,1,1,1,1,0,0,20200224,20200226
25907941,1,1,1,1,1,0,0,20200224,20200226
25907717,1,1,1,1,1,0,0,20200224,20200226
25908039,1,1,1,1,1,0,0,20200227,20200327
25908069,1,1,1,1,1,0,0,20200227,20200327
25908045,1,1,1,1,1,0,0,20200227,20200327
25908279,1,1,1,1,1,0,0,20200227,20200327
25908285,1,1,1,1,1,0,0,20200227,20200327
25908411,0,0,0,0,0,0,0,20200115,20201231
25907557,0,0,0,0,0,0,1,20200119,20200405
25908080,1,1,1,1,1,0,0,20200115,20200221
25908495,0,0,0,0,0,1,0,20200118,20200404
25907724,1,1,1,1,1,0,0,20200224,20200226
25907731,1,1,1,1,1,0,0,20200224,20200226
25907696,1,1,1,1,1,0,0,20200224,20200226
25907857,1,1,1,1,1,0,0,20200224,20200226
25908081,1,1,1,1,1,0,0,20200227,20200327
25908409,0,0,0,0,0,0,0,20200115,20201231
25908445,0,0,0,0,0,0,0,20200115,20201231
25908412,0,0,0,0,0,0,0,20200115,20201231
25908471,0,0,0,0,0,1,0,20200118,20200404
25908477,0,0,0,0,0,1,0,20200118,20200404
25907560,0,0,0,0,0,0,1,20200119,20200405
25908413,0,0,0,0,0,0,0,20200115,20201231
25907626,0,0,0,0,0,0,1,20200119,20200405
