route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
192251,1,,15E - Algés,,3,,ffffff,000000
192252,1,,15E - Algés,,3,,ffffff,000000
192253,1,,15E - Algés,,3,,ffffff,000000
192254,1,,15E - Pr. Figueira,,3,,ffffff,000000
192255,1,,15E - Pr. Figueira,,3,,ffffff,000000
192261,1,,714 - Outurela,,3,,ffffff,000000
192279,1,,776 - Cruz Quebrada,,3,,ffffff,000000
191192,1,,731 - Moscavide-Centro,,3,,ffffff,000000
191195,1,,760 - G. Freire,,3,,ffffff,000000
191156,1,,759 - Sul e Sueste,,3,,ffffff,000000
192280,1,,776 - Algés,,3,,ffffff,000000
191160,1,,797 - P. Chile,,3,,ffffff,000000
191161,1,,797 - Sapadores,,3,,ffffff,000000
191114,1,,201 - Cais Sodré,,3,,ffffff,000000
191674,1,,712 - Alcântara,,3,,ffffff,000000
191129,1,,32B - Amendoeiras (Metro),,3,,ffffff,000000
192282,1,,79B - Algés,,3,,ffffff,000000
161795,1,,701 - Campo Ourique,,3,,ffffff,000000
161796,1,,701 - Campo Ourique,,3,,ffffff,000000
176374,1,,706 - Est. S. Apolónia,,3,,ffffff,000000
176375,1,,706 - Est. S. Apolónia,,3,,ffffff,000000
176376,1,,706 - Cais Sodré,,3,,ffffff,000000
191649,1,,31B - Vale Formoso,,3,,ffffff,000000
191650,1,,31B - B. Alfinetes,,3,,ffffff,000000
191679,1,,726 - Pontinha (Centro),,3,,ffffff,000000
191680,1,,726 - Pontinha (Centro),,3,,ffffff,000000
191681,1,,726 - Pontinha (Centro),,3,,ffffff,000000
191689,1,,730 - Picoas,,3,,ffffff,000000
192176,1,,747 - Campo Grande Metro,,3,,ffffff,000000
192119,1,,15E - Algés,,3,,ffffff,000000
192120,1,,15E - Pr. Figueira,,3,,ffffff,000000
192123,1,,727 - Restelo,,3,,ffffff,000000
192124,1,,727 - Restelo,,3,,ffffff,000000
192125,1,,727 - Est. Roma-Areeiro,,3,,ffffff,000000
192127,1,,774 - Gomes Freire,,3,,ffffff,000000
192130,1,,781 - Prior Velho,,3,,ffffff,000000
192131,1,,781 - Cais Sodré,,3,,ffffff,000000
161797,1,,702 - Marquês Pombal,,3,,ffffff,000000
161798,1,,702 - Marquês Pombal,,3,,ffffff,000000
161799,1,,705 - Estação Oriente,,3,,ffffff,000000
162054,1,,54E - Lg. Carmo,,3,,ffffff,000000
162055,1,,54E - R. Ouro,,3,,ffffff,000000
191617,1,,720 - Calvário,,3,,ffffff,000000
192174,1,,742 - Ajuda,,3,,ffffff,000000
192185,1,,767 - Reboleira (Estação),,3,,ffffff,000000
192186,1,,767 - Reboleira (Estação),,3,,ffffff,000000
192187,1,,794 - Estação Oriente,,3,,ffffff,000000
192188,1,,794 - T. Paço,,3,,ffffff,000000
191141,1,,728 - Restelo,,3,,ffffff,000000
191142,1,,735 - Hosp. Sta. Maria,,3,,ffffff,000000
191143,1,,735 - Hosp. Sta. Maria,,3,,ffffff,000000
191635,1,,770 - Sete Rios,,3,,ffffff,000000
191636,1,,770 - Sete Rios,,3,,ffffff,000000
191151,1,,746 - M. Pombal,,3,,ffffff,000000
191152,1,,746 - M. Pombal,,3,,ffffff,000000
191153,1,,754 - Alfragide,,3,,ffffff,000000
191154,1,,754 - C. Pequeno,,3,,ffffff,000000
191155,1,,759 - Est. Oriente,,3,,ffffff,000000
183490,1,,25E - Prazeres,,3,,ffffff,000000
191706,1,,18E - Cemit. Ajuda,,3,,ffffff,000000
191708,1,,18E - Cais Sodré,,3,,ffffff,000000
191709,1,,714 - Outurela,,3,,ffffff,000000
191663,1,,24E - Pç. Luis Camões,,3,,ffffff,000000
191666,1,,24E - Campolide,,3,,ffffff,000000
191667,1,,723 - Algés,,3,,ffffff,000000
161297,1,,718 - ISEL,,3,,ffffff,000000
161290,1,,706 - Est. S. Apolónia,,3,,ffffff,000000
191712,1,,728 - Portela,,3,,ffffff,000000
161913,1,,712 - Est. Sta. Apolónia,,3,,ffffff,000000
161050,1,,702 - Serafina,,3,,ffffff,000000
162159,1,,729 - B. Padre Cruz,,3,,ffffff,000000
162162,1,,753 - Centro Sul,,3,,ffffff,000000
162163,1,,753 - Pç. José Fontana,,3,,ffffff,000000
