stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1_7601,,AEROPORTO,,38.76782608,-9.1287117004,,,0,,,0,
1_7602,,AEROPORTO,,38.76896286,-9.1279783249,,,0,,,0,
1_12901,,AJUDA,,38.709133148,-9.1999864578,,,0,,,0,
1_12902,,AJUDA,,38.709407806,-9.1999330521,,,0,,,0,
1_12919,,AJUDA - RUA DAS AÇUCENAS,,38.70880127,-9.2000207901,,,0,,,0,
1_12920,,AJUDA - RUA DAS AÇUCENAS,,38.708930969,-9.2002477646,,,0,,,0,
1_8308,,AL. BEATO,,38.732753754,-9.1059236526,,,0,,,0,
1_402,,ALAMEDA D. A. HENRIQUES,,38.736942291,-9.1339941025,,,0,,,0,
1_408,,ALAMEDA D. A. HENRIQUES,,38.736019135,-9.1340770721,,,0,,,0,
1_409,,ALAMEDA D. A. HENRIQUES,,38.736099243,-9.1338701248,,,0,,,0,
1_410,,ALAMEDA D. A. HENRIQUES,,38.737182617,-9.1339931488,,,0,,,0,
1_413,,ALAMEDA D. A. HENRIQUES,,38.736946106,-9.1337203979,,,0,,,0,
1_414,,ALAMEDA D. A. HENRIQUES,,38.737297058,-9.1336727142,,,0,,,0,
1_401,,ALAMEDA D. A. HENRIQUES,,38.736503601,-9.1311368942,,,0,,,0,
1_11112,,ALAMEDA D. A. HENRIQUES,,38.736923218,-9.1363487244,,,0,,,0,
1_11111,,ALAMEDA D. AFONSO HENIRIQUES,,38.736751556,-9.1363286972,,,0,,,0,
1_8307,,ALAMEDA DO BEATO,,38.733097076,-9.1055402756,,,0,,,0,
1_14305,,ALAMEDA FERNÃO LOPES - ESTAÇÃO,,38.714637756,-9.2292251587,,,0,,,0,
1_14306,,ALAMEDA FERNÃO LOPES - ESTAÇÃO,,38.715003967,-9.2294368744,,,0,,,0,
1_12927,,ALAMEDA UNIVERSIDADE TÉCNICA,,38.713588715,-9.2004928589,,,0,,,0,
1_9401,,ALCÂNTARA,,38.706573486,-9.1734848022,,,0,,,0,
1_9402,,ALCÂNTARA,,38.706634521,-9.1732950211,,,0,,,0,
1_9417,,ALCÂNTARA,,38.70627594,-9.1733846664,,,0,,,0,
1_9418,,ALCÂNTARA,,38.705883026,-9.1727104187,,,0,,,0,
1_9414,,ALCÂNTARA,,38.706882477,-9.1731452942,,,0,,,0,
1_4001,,ALCÂNTARA - AV. 24 DE JULHO,,38.704143524,-9.1738233566,,,0,,,0,
1_4004,,ALCÂNTARA - AV. 24 DE JULHO,,38.704303741,-9.173951149,,,0,,,0,
1_9415,,ALCÂNTARA - AV. DE CEUTA,,38.707256317,-9.173535347,,,0,,,0,
1_9425,,ALCÂNTARA - AV. DE CEUTA,,38.708099365,-9.1737365723,,,0,,,0,
1_12117,,ALCÂNTARA - CÇ. DA TAPADA,,38.707244873,-9.1789340973,,,0,,,0,
1_12118,,ALCÂNTARA - CÇ. DA TAPADA,,38.706581116,-9.1788368225,,,0,,,0,
1_4005,,ALCÂNTARA MAR,,38.70350647,-9.1747159958,,,0,,,0,
1_4002,,ALCÂNTARA MAR,,38.702945709,-9.1734189987,,,0,,,0,
1_4003,,ALCÂNTARA MAR,,38.702865601,-9.1732378006,,,0,,,0,
1_4009,,ALCÂNTARA MAR,,38.705177307,-9.1743202209,,,0,,,0,
1_8201,,ALFÂNDEGA (TERMINAL CRUZEIROS),,38.710502625,-9.1274318695,,,0,,,0,
1_8202,,ALFÂNDEGA (TERMINAL CRUZEIROS),,38.709575653,-9.129029274,,,0,,,0,
1_8841,,ALFRAGIDE,,38.738113403,-9.2128324509,,,0,,,0,
1_88102,,ALFRAGIDE - DGA,,38.737674713,-9.208032608,,,0,,,0,
1_88104,,ALFRAGIDE - DGA,,38.737705231,-9.2083444595,,,0,,,0,
1_18109,,ALFRAGIDE - FAP,,38.738513947,-9.2139482498,,,0,,,0,
1_18112,,ALFRAGIDE - FAP,,38.738704681,-9.2142467499,,,0,,,0,
1_18110,,ALFRAGIDE - NATO,,38.736522675,-9.2163829803,,,0,,,0,
1_18107,,ALFRAGIDE - NATO,,38.73664856,-9.2158546448,,,0,,,0,
1_18134,,ALFRAGIDE - NATO,,38.737205505,-9.2161026001,,,0,,,0,
1_18128,,ALFRAGIDE NORTE,,38.739459991,-9.2215099335,,,0,,,0,
1_18101,,ALFRAGIDE SUL,,38.733318329,-9.2171325684,,,0,,,0,
1_18116,,ALFRAGIDE SUL,,38.732891083,-9.2169618607,,,0,,,0,
1_4201,,ALGÉS,,38.698566437,-9.2272405624,,,0,,,0,
1_4206,,ALGÉS,,38.698768616,-9.227478981,,,0,,,0,
1_4207,,ALGÉS,,38.699207306,-9.2269487381,,,0,,,0,
1_4210,,ALGÉS,,38.698493958,-9.2275934219,,,0,,,0,
1_4211,,ALGÉS,,38.698940277,-9.2270097733,,,0,,,0,
1_4215,,ALGÉS,,38.699256897,-9.2314605713,,,0,,,0,
1_4220,,ALGÉS,,38.699501038,-9.2277994156,,,0,,,0,
1_4213,,ALGÉS - MERCADO,,38.701126099,-9.2280101776,,,0,,,0,
1_4202,,ALGÉS - MERCADO,,38.701499939,-9.2273511887,,,0,,,0,
1_4218,,ALGÉS - PÇ. D. MANUEL I,,38.699497223,-9.2284927368,,,0,,,0,
1_4219,,ALGÉS - PÇ. D. MANUEL I,,38.699401855,-9.2285709381,,,0,,,0,
1_4223,,ALGÉS (JARDIM),,38.699417114,-9.2320966721,,,0,,,0,
1_4212,,ALGÉS (JARDIM),,38.699546814,-9.2320995331,,,0,,,0,
1_11503,,ALTA DE LISBOA - QTA CONCHAS,,38.769863129,-9.1485509872,,,0,,,0,
1_11504,,ALTA DE LISBOA - QTA CONCHAS,,38.768802643,-9.1490678787,,,0,,,0,
1_4114,,ALTINHO (MAAT),,38.697505951,-9.1960115433,,,0,,,0,
1_4115,,ALTINHO (MAAT),,38.697368622,-9.1941680908,,,0,,,0,
1_3021,,ALTO DA DAMAIA,,38.743515015,-9.2174482346,,,0,,,0,
1_12001,,ALTO DE SANTO AMARO,,38.702358246,-9.1879873276,,,0,,,0,
1_12007,,ALTO DE SANTO AMARO,,38.704933167,-9.1874217987,,,0,,,0,
1_7221,,ALTO DO CHAPELEIRO,,38.78767395,-9.1635866165,,,0,,,0,
1_5838,,ALTO DO LUMIAR - PARQUE EUROPA,,38.766452789,-9.1527471542,,,0,,,0,
1_8844,,ALTO DO ZAMBUJAL,,38.736335754,-9.212600708,,,0,,,0,
1_8845,,ALTO DO ZAMBUJAL,,38.736465454,-9.2127628326,,,0,,,0,
1_21301,,ALTO DOS MOíNHOS,,38.721733093,-9.1971130371,,,0,,,0,
1_21302,,ALTO DOS MOíNHOS,,38.722080231,-9.1967830658,,,0,,,0,
1_10710,,ALTO DOS MOÍNHOS METRO,,38.749256134,-9.1801013947,,,0,,,0,
1_50029,,ALTO FAIA,,38.767650604,-9.1685810089,,,0,,,0,
1_50030,,ALTO FAIA,,38.76815033,-9.1680707932,,,0,,,0,
1_50023,,ALTO FAIA SUL,,38.765220642,-9.171667099,,,0,,,0,
1_50024,,ALTO FAIA SUL,,38.76524353,-9.1718072891,,,0,,,0,
1_10709,,ALTO MOINHOS (METRO),,38.749355316,-9.1802368164,,,0,,,0,
1_9001,,ALTO PINA,,38.737560272,-9.1277284622,,,0,,,0,
1_9002,,ALTO PINA,,38.737506866,-9.1274518967,,,0,,,0,
1_12010,,ALTO STO. AMARO,,38.702560425,-9.1879320145,,,0,,,0,
1_12006,,ALTO STO. AMARO,,38.705112457,-9.1876554489,,,0,,,0,
